,StateName,f_voters_turnout,m_voters_turnout,year
1579,Maharashtra,43.31410974754239,49.672140477663774,2009
1580,Maharashtra,49.577048084566414,53.16698412832713,2014
1581,Maharashtra,63.40638912252693,68.56885913714653,2014
1582,Maharashtra,42.227650433658354,54.046092366160735,2004
1583,Maharashtra,68.76815329871371,73.1016009299059,2009
1584,Maharashtra,51.582892579304904,54.201529062362184,2014
1585,Maharashtra,36.03147759610283,42.10913482652613,2009
1586,Maharashtra,64.36478745081958,64.52568867933304,2014
1588,Maharashtra,55.08041812652083,61.49838741226294,2014
1589,Maharashtra,48.153373684176884,57.872930449336856,2004
1591,Maharashtra,57.879341698902984,65.09237883294163,2009
1592,Maharashtra,61.11674991573531,72.60245027940128,1999
1593,Maharashtra,50.43958167282564,52.618481153089434,2014
1594,Maharashtra,59.377453770071384,67.66946852369429,2014
1595,Maharashtra,66.4699432988012,70.60926617606005,2014
1596,Maharashtra,64.70128755992405,68.45266938319608,2014
1597,Maharashtra,63.982511869617866,71.03249816905083,1999
1598,Maharashtra,49.5528113618241,61.448247374011565,2004
1599,Maharashtra,70.38068439155796,74.79969517680803,1999
1601,Maharashtra,69.60220363013659,72.91802942026561,1999
1602,Maharashtra,61.04530452287945,68.92975597926768,2009
1603,Maharashtra,42.39738292982135,45.35198626482192,2009
1604,Maharashtra,60.694389308807814,65.88683293362652,2014
1606,Maharashtra,54.609228384392814,58.730670504000805,2014
1607,Maharashtra,50.7864449408136,55.026686694055904,2004
1608,Maharashtra,70.13187248086577,72.97648924540793,2014
1612,Maharashtra,44.95158102538912,48.38567808564323,2004
1613,Maharashtra,50.555265271744645,55.00962944653855,2009
1615,Maharashtra,73.23091462985491,80.72214675097914,1999
1618,Maharashtra,39.270710780378295,41.19115805436521,2009
1619,Maharashtra,60.06779609747059,68.91646813304523,1999
1621,Maharashtra,55.73875436882781,62.089137495040106,2009
1622,Maharashtra,52.12105342481811,52.631121812580076,2014
1625,Maharashtra,60.83149670608159,65.38619794918004,2014
1626,Manipur,53.30238517795189,59.398109264490884,2004
1627,Manipur,76.25776656162935,73.61323222321585,2014
1628,Manipur,75.98752469896395,79.62668977028042,2004
1629,Manipur,62.86286369682882,64.41957078831804,1999
1630,Manipur,82.51739522511025,83.77163897612043,2009
1633,Manipur,70.61062298759173,70.43907446085966,2009
1634,Manipur,84.73213613230183,83.5309939821357,2014
1636,Manipur,65.20780207419273,70.73880235984494,1999
1640,Meghalaya,46.963050961040544,46.71937082282915,2004
1641,Meghalaya,48.2443588941689,53.624389921447225,1999
1642,Meghalaya,63.55587888796028,60.79666304611796,2009
1644,Meghalaya,77.85121488661598,46.356682457094045,2004
1645,Meghalaya,65.1046998418648,70.16209765117402,2009
1646,Meghalaya,61.47357109275304,67.3915306733297,1999
