,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
1577,Maharashtra,MH,S13,1,Dindori,808116,722062,1530208,546617,422882,969499,2014,243,,1,DINDORI
2393,Uttar Pradesh,UP,S24,1,Domariyaganj ,961957,799313,1761415,490089,444938,935027,2014,438,,0,DOMARIYAGANJ
2890,West Bengal,WB,S25,1,Dum dum,715569,690401,1405981,590114,539290,1129404,2014,474,,1,DUM DUM
3073,Jharkhand,JH,S27,1,Dumka,658403,614641,1273049,466619,435895,902514,2014,513,,1,DUMKA
3059,Chhattisgarh,CT,S26,1,DURG,948929,909771,1858922,661165,597929,1259094,2014,507,,0,DURG
3233,NCT OF Delhi,DL,U05,2,EAST DELHI,1023325,806102,1829578,676930,518463,1195428,2014,537,,0,EAST DELHI
212,Andhra Pradesh,AP,S01,1,Eluru,706952,720738,1427764,600526,594189,1194720,2014,27,,1,ELURU
1077,Kerala,KL,S11,1,Ernakulam,565836,590656,1156492,428604,421361,849965,2014,186,,1,ERNAKULAM
2201,Tamil Nadu,TN,S22,1,Erode,656661,664670,1321399,510564,495852,1006429,2014,354,,1,ERODE
2272,Uttar Pradesh,UP,S24,1,Etah,856985,720450,1577457,520186,405831,926017,2014,400,,0,ETAH
2639,Uttar Pradesh,UP,S24,1,Etawah,938271,768913,1707237,529547,408334,937881,2014,419,,0,ETAWAH
2658,Uttar Pradesh,UP,S24,1,Faizabad,936036,802604,1738701,558076,464473,1022558,2014,432,,0,FAIZABAD
796,Haryana,HR,S07,1,Faridabad,969407,770945,1740352,651241,479430,1130671,2014,136,,0,FARIDABAD
1859,Punjab,PB,S19,1,Faridkot,768206,686848,1455075,547017,484634,1031651,2014,307,,1,FARIDKOT
2394,Uttar Pradesh,UP,S24,1,Farrukhabad,891793,721921,1613781,560618,409931,970549,2014,418,,0,FARRUKHABAD
1813,Punjab,PB,S19,1,Fatehgarh Sahib,740390,656554,1396957,551095,479741,1030836,2014,306,,1,FATEHGARH SAHIB
2646,Uttar Pradesh,UP,S24,1,Fatehpur,985898,818821,1804753,574629,481306,1055940,2014,427,,0,FATEHPUR
