,StateName,stateabb,PCNAME,t_voters,t_electors,voters_turnout,log_electors,sex_ratio,f_voters_turnout,year
2369,Uttar Pradesh,UP,Etawah,608768,1148723,53.0,13.95,794,44.3,1999
2370,Uttar Pradesh,UP,Mathura,540511,1176548,45.9,13.98,774,37.4,1999
2371,Uttar Pradesh,UP,Jaunpur,1006317,1848842,54.4,14.43,843,56.7,2014
2374,Uttar Pradesh,UP,Faizabad,666543,1228752,54.2,14.02,842,49.9,1999
2376,Uttar Pradesh,UP,BALLIA,619531,1430300,43.3,14.17,802,32.7,2004
2379,Uttar Pradesh,UP,DEORIA,730406,1569719,46.5,14.27,836,43.0,2004
2380,Uttar Pradesh,UP,Lucknow,1031060,1949956,52.9,14.48,853,50.2,2014
2381,Uttar Pradesh,UP,Aligarh,1064597,1793126,59.4,14.4,856,56.6,2014
2384,Uttar Pradesh,UP,Bulandshahr,1009095,1736436,58.1,14.37,865,57.0,2014
2385,Uttar Pradesh,UP,Hardoi,574067,1416949,40.5,14.16,808,32.1,2009
2386,Uttar Pradesh,UP,Deoria,970443,1806926,53.7,14.41,811,57.1,2014
2388,Uttar Pradesh,UP,Bhadohi,981760,1834598,53.5,14.42,806,55.5,2014
2391,Uttar Pradesh,UP,Jhansi,861859,1562082,55.2,14.26,870,48.4,2009
2393,Uttar Pradesh,UP,Domariyaganj ,935027,1761415,53.1,14.38,831,55.7,2014
2394,Uttar Pradesh,UP,Farrukhabad,970549,1613781,60.1,14.29,810,56.8,2014
2399,Uttar Pradesh,UP,KANPUR,618698,1427231,43.3,14.17,820,35.6,2004
2400,Uttar Pradesh,UP,SAHARANPUR,990397,1566135,63.2,14.26,851,59.0,2004
2403,Uttar Pradesh,UP,Mohanlalganj,694958,1500237,46.3,14.22,864,39.6,2009
2404,Uttar Pradesh,UP,Mirzapur,1007581,1720661,58.6,14.36,833,57.5,2014
2408,Uttar Pradesh,UP,Saidpur,714660,1309952,54.6,14.09,897,52.5,1999
2409,Uttar Pradesh,UP,Deoria,717561,1580745,45.4,14.27,838,45.8,2009
2410,Uttar Pradesh,UP,Barabanki,743530,1422218,52.3,14.17,851,44.7,2009
2411,Uttar Pradesh,UP,Shahjahanpur,683859,1130852,60.5,13.94,932,43.1,1999
2413,Uttar Pradesh,UP,Salempur,647355,1265863,51.1,14.05,796,49.2,1999
2415,Uttar Pradesh,UP,Allahabad,550154,1267492,43.4,14.05,823,39.5,2009
2416,Uttar Pradesh,UP,Sitapur,704912,1230078,57.3,14.02,857,50.2,2009
2422,Uttar Pradesh,UP,UNNAO,547514,1303203,42.0,14.08,836,33.8,2004
2431,Uttar Pradesh,UP,Jaunpur,702988,1274445,55.2,14.06,875,56.7,1999
2432,Uttar Pradesh,UP,KHERI,706706,1437563,49.2,14.18,818,37.9,2004
2437,Uttar Pradesh,UP,Jalaun,797630,1684988,47.3,14.34,826,41.5,2009
2438,Uttar Pradesh,UP,Kaiserganj,646538,1116997,57.9,13.93,824,61.5,1999
2440,Uttar Pradesh,UP,GHAZIPUR,869032,1476687,58.9,14.21,862,53.2,2004
2441,Uttar Pradesh,UP,Chail,515937,1310550,39.4,14.09,820,30.6,1999
2442,Uttar Pradesh,UP,AGRA,642675,1430713,44.9,14.17,831,36.5,2004
2443,Uttar Pradesh,UP,Muzaffarnagar,745776,1370117,54.4,14.13,824,50.5,2009
2445,Uttar Pradesh,UP,Fatehpur sikri,692254,1345742,51.4,14.11,798,45.1,2009
2446,Uttar Pradesh,UP,AMROHA,885155,1342541,65.9,14.11,861,61.3,2004
2447,Uttar Pradesh,UP,Phulpur,690973,1183537,58.4,13.98,845,51.0,1999
2455,Uttar Pradesh,UP,Gonda,872422,1710825,51.0,14.35,829,49.6,2014
