,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,f_voters_turnout,m_voters_turnout,voters_turnout,log_electors,sex_ratio
950,Karnataka,KA,S10,1,Dharwad,808768,769269,1578125,562867.0,477563.0,1040430,2014,157,,62.1,69.59560714568332,65.9,14.27,951
956,Karnataka,KA,S10,1,Udupi Chikmagalur,679285,707947,1387294,510562.0,522488.0,1033051,2014,161,,73.8,75.16167735192151,74.5,14.14,1042
957,Karnataka,KA,S10,1,Koppal,770316,764694,1535105,526117.0,480597.0,1006716,2014,154,,62.8,68.29885397680951,65.6,14.24,993
958,Karnataka,KA,S10,1,Kolar,755450,737386,1492977,581924.0,544042.0,1125973,2014,174,,73.8,77.03011450129063,75.4,14.22,976
962,Karnataka,KA,S10,1,Bangalore South,1050737,947667,1998724,596688.0,516207.0,1112914,2014,172,,54.5,56.787569106255894,55.7,14.51,902
969,Karnataka,KA,S10,1,Mandya,839052,830121,1669262,604491.0,587306.0,1191805,2014,166,,70.7,72.04452167446118,71.4,14.33,989
975,Karnataka,KA,S10,1,Raichur,835969,825327,1661606,501122.0,467391.0,968513,2014,152,,56.6,59.94504580911493,58.3,14.32,987
978,Karnataka,KA,S10,1,Belgaum,807485,773259,1580895,569642.0,508074.0,1077716,2014,148,,65.7,70.54521136615541,68.2,14.27,958
980,Karnataka,KA,S10,1,Hassan,789847,771551,1561486,585749.0,560755.0,1146508,2014,162,,72.7,74.1598056332429,73.4,14.26,977
986,Karnataka,KA,S10,1,Bellary,750789,737003,1487945,541905.0,503534.0,1045448,2014,155,,68.3,72.17806867175732,70.3,14.21,982
988,Karnataka,KA,S10,1,Bidar,839154,761738,1600962,508036.0,454615.0,962652,2014,153,,59.7,60.54145007948482,60.1,14.29,908
989,Karnataka,KA,S10,1,Bangalore central,1010478,920679,1931456,573657.0,500273.0,1073957,2014,171,,54.3,56.7708549815038,55.6,14.47,911
991,Karnataka,KA,S10,1,Gulbarga,878311,843454,1721990,522778.0,474347.0,997125,2014,151,,56.2,59.52083032092277,57.9,14.36,960
995,Karnataka,KA,S10,1,Bagalkot,793354,775172,1568633,561494.0,517311.0,1078805,2014,149,,66.7,70.77471091089224,68.8,14.27,977
1021,Karnataka,KA,S10,1,Tumkur,764561,753839,1518518,565126.0,535597.0,1100735,2014,165,,71.0,73.91509637556716,72.5,14.23,986
1035,Karnataka,KA,S10,1,Haveri,807076,751596,1558749,594946.0,520512.0,1115458,2014,156,,69.3,73.7162299461265,71.6,14.26,931
1036,Karnataka,KA,S10,1,Bangalore Rural,1135853,1054284,2190398,758651.0,696340.0,1455003,2014,169,,66.0,66.79130133916978,66.4,14.6,928
1072,Kerala,KL,S11,1,Kozhikode,571709,610775,1182484,456299.0,484028.0,940327,2014,179,,79.2,79.81315669335274,79.5,13.98,1068
1077,Kerala,KL,S11,1,Ernakulam,565836,590656,1156492,428604.0,421361.0,849965,2014,186,,71.3,75.74703624371726,73.5,13.96,1044
1080,Kerala,KL,S11,1,Thiruvananthapuram,614438,658310,1272748,433243.0,437404.0,870647,2014,194,,66.4,70.51045020002019,68.4,14.06,1071
1082,Kerala,KL,S11,1,Attingal,575780,675618,1251398,394491.0,462016.0,856507,2014,193,,68.4,68.51418944735836,68.4,14.04,1173
1084,Kerala,KL,S11,1,Vadakara,561168,621336,1182504,436972.0,520810.0,957782,2014,177,,83.8,77.86830325321472,81.0,13.98,1107
1085,Kerala,KL,S11,1,Kottayam,573572,587893,1161465,426604.0,404356.0,830960,2014,188,,68.8,74.37671294972557,71.5,13.97,1025
1088,Kerala,KL,S11,1,Alappuzha,611877,659447,1271324,477034.0,517975.0,995009,2014,189,,78.5,77.96240094005822,78.3,14.06,1078
1090,Kerala,KL,S11,1,Kannur,548454,621812,1170266,438891.0,506993.0,945884,2014,176,,81.5,80.02330186305507,80.8,13.97,1134
1091,Kerala,KL,S11,1,Ponnani,574106,606683,1180789,405012.0,466307.0,871319,2014,181,,76.9,70.54655412066762,73.8,13.98,1057
1108,Kerala,KL,S11,1,Thrissur,606518,668770,1275288,433933.0,485624.0,919557,2014,184,,72.6,71.54495002621522,72.1,14.06,1103
1113,Kerala,KL,S11,1,Wayanad,614822,634598,1249420,454055.0,460171.0,914226,2014,178,,72.5,73.8514561938252,73.2,14.04,1032
1115,Kerala,KL,S11,1,Malappuram,598207,600237,1198444,415672.0,437264.0,852936,2014,180,,72.8,69.4863149378058,71.2,14.0,1003
1121,Kerala,KL,S11,1,Idukki,578849,579886,1158735,424879.0,394103.0,818982,2014,187,,68.0,73.40066234890273,70.7,13.96,1002
